user1 user2 ts
1 2 1082040961
3 4 1082155839
5 2 1082414391
6 7 1082439619
8 7 1082439756
9 11 1082440453
12 13 1082441188
9 14 1082441754
9 15 1082441824
9 14 1082442328
9 18 1082442560
20 21 1082444944
19 22 1082450074
9 24 1082450645
9 22 1082450656
25 21 1082467089
26 7 1082481125
27 28 1082490240
30 31 1082517506
30 31 1082517511
30 31 1082517513
30 31 1082517516
32 33 1082518023
34 35 1082525530
36 37 1082530949
41 15 1082540305
41 11 1082540354
41 14 1082540462
41 13 1082540496
41 39 1082541442
41 42 1082574211
9 40 1082583700
44 46 1082588222
47 46 1082588508
48 46 1082589483
9 49 1082596555
36 50 1082597715
44 51 1082597751
32 52 1082598056
36 32 1082598122
53 54 1082598395
36 55 1082598545
56 57 1082598548
36 32 1082598685
36 58 1082598765
44 59 1082598920
51 58 1082598934
44 14 1082599072
36 56 1082599376
36 60 1082599717
56 61 1082600068
62 50 1082600409
36 60 1082600787
36 60 1082601872
36 50 1082601913
41 63 1082602619
41 65 1082602682
41 58 1082602838
41 59 1082603068
9 64 1082603124
12 66 1082603219
32 58 1082603266
12 66 1082603268
41 32 1082603571
68 61 1082604018
67 8 1082604696
69 67 1082605390
70 51 1082607167
44 50 1082607289
71 58 1082608405
71 72 1082608481
51 58 1082608509
72 71 1082609249
73 74 1082609649
74 73 1082609719
73 74 1082609913
74 73 1082609972
34 58 1082610114
44 75 1082610117
44 75 1082610241
73 74 1082610332
9 76 1082610339
41 76 1082612106
41 78 1082612122
79 48 1082612494
79 63 1082612535
41 80 1082612618
79 58 1082612664
41 81 1082612672
79 70 1082612947
19 72 1082613444
12 32 1082613466
19 64 1082613910
19 58 1082614030
19 58 1082614035
19 58 1082614037
83 59 1082614460
51 70 1082614477
41 58 1082616043
63 79 1082616085
41 63 1082616093
41 63 1082616735
41 58 1082617102
44 84 1082617666
19 85 1082618206
19 72 1082618294
19 58 1082619271
84 86 1082619833
83 58 1082620003
36 60 1082620032
87 63 1082620509
36 88 1082620689
36 89 1082621383
90 56 1082621402
36 90 1082621459
36 84 1082621518
91 92 1082621575
36 93 1082621760
91 92 1082621825
36 90 1082621841
91 92 1082621981
36 60 1082622201
36 84 1082622692
51 58 1082622812
94 84 1082622904
36 84 1082623270
94 84 1082623289
94 84 1082623664
69 84 1082623764
69 95 1082623795
84 8 1082626287
91 81 1082627222
96 88 1082627395
8 84 1082628373
84 8 1082629290
91 47 1082629573
97 98 1082630222
98 97 1082630376
97 98 1082630411
99 8 1082630832
99 8 1082630846
102 97 1082631289
97 102 1082631611
48 58 1082632034
103 72 1082635084
103 58 1082635445
104 59 1082637588
104 59 1082637597
103 72 1082640108
105 56 1082653516
106 72 1082653683
105 61 1082653966
105 33 1082654503
105 107 1082654817
44 102 1082656071
36 104 1082659895
34 109 1082660743
36 110 1082660940
111 112 1082661553
34 58 1082662461
36 109 1082662740
79 109 1082663507
114 105 1082663676
101 115 1082663773
56 90 1082664575
56 105 1082664609
29 58 1082665970
87 58 1082666210
44 116 1082666706
44 117 1082667280
44 117 1082667312
44 79 1082667839
80 58 1082668259
96 32 1082669430
119 120 1082670688
119 120 1082670704
120 119 1082670775
120 75 1082670850
119 120 1082670949
120 119 1082670972
119 58 1082671048
74 73 1082671401
118 120 1082671996
72 106 1082672710
44 79 1082675428
1 123 1082676222
125 126 1082677532
36 104 1082678664
44 79 1082680218
44 79 1082680860
36 124 1082680998
36 127 1082681628
44 79 1082681912
44 129 1082682026
44 116 1082682189
9 120 1082682332
79 58 1082682731
36 109 1082683846
124 109 1082683974
36 109 1082684146
124 61 1082684222
124 72 1082684424
36 109 1082684927
72 124 1082686656
124 8 1082686913
131 30 1082687241
99 126 1082688025
103 72 1082688404
103 72 1082688765
103 63 1082689042
103 117 1082689139
103 72 1082689523
131 30 1082691496
69 95 1082692186
69 79 1082692215
36 99 1082692567
36 60 1082692654
36 81 1082693082
103 72 1082693359
103 135 1082693580
133 135 1082693664
135 133 1082693705
103 135 1082693727
133 135 1082693958
103 135 1082694026
103 135 1082694074
135 133 1082694080
133 135 1082694144
9 109 1082697472
9 109 1082698466
62 136 1082699464
96 32 1082700012
96 137 1082701256
19 120 1082701459
44 90 1082701470
96 137 1082701484
19 139 1082701903
44 60 1082702454
44 88 1082702546
44 102 1082702617
44 90 1082702670
19 111 1082702679
44 90 1082702885
9 32 1082702909
44 90 1082703058
44 90 1082703229
103 63 1082703442
103 72 1082703489
38 86 1082703540
103 72 1082704067
38 86 1082704560
38 101 1082704766
38 101 1082705521
38 101 1082705563
103 101 1082705658
38 101 1082705768
103 101 1082705775
38 61 1082706733
75 120 1082706737
44 74 1082707557
44 127 1082707684
124 135 1082709847
140 124 1082710212
105 56 1082710926
124 135 1082711051
105 63 1082711129
105 61 1082711211
105 135 1082711395
124 135 1082711713
71 72 1082712614
135 124 1082712846
9 32 1082712981
63 105 1082713007
72 71 1082713242
142 58 1082713344
124 135 1082713430
124 135 1082713619
144 99 1082714081
144 105 1082714222
144 121 1082714356
9 109 1082714460
103 109 1082715683
103 63 1082715865
103 63 1082716576
103 109 1082716714
48 81 1082716717
95 81 1082716899
95 63 1082716951
145 95 1082717081
95 109 1082717085
145 95 1082717213
145 95 1082717511
95 109 1082717927
96 48 1082718139
95 109 1082718272
96 48 1082718758
105 144 1082720154
105 63 1082720168
6 146 1082721036
44 60 1082741603
44 105 1082741645
63 95 1082742068
44 32 1082744110
114 105 1082745481
34 109 1082745659
36 109 1082745893
44 32 1082746993
19 120 1082747959
9 136 1082749051
9 150 1082749176
9 151 1082749262
9 152 1082749354
9 153 1082749374
9 135 1082749423
9 22 1082749444
9 8 1082749542
9 154 1082749637
1 135 1082750393
3 155 1082750637
36 109 1082750770
3 155 1082750830
3 58 1082751801
36 156 1082756670
131 30 1082757534
101 51 1082758516
9 8 1082758968
36 73 1082760011
9 76 1082761826
9 8 1082762055
9 157 1082762898
9 32 1082764006
44 129 1082768258
105 135 1082768279
105 129 1082768355
44 129 1082768523
44 129 1082768576
44 129 1082768616
51 101 1082768729
1 159 1082768765
44 74 1082770262
44 129 1082770436
160 72 1082772499
129 8 1082773348
36 109 1082773711
36 129 1082773829
9 8 1082773864
161 162 1082778734
163 72 1082780126
58 8 1082781852
32 58 1082782023
41 76 1082782364
41 120 1082782436
41 132 1082782472
41 166 1082782545
41 157 1082782564
41 167 1082782610
41 169 1082782648
41 134 1082782678
56 154 1082782821
56 170 1082782896
56 171 1082782914
56 172 1082782926
103 101 1082783260
51 157 1082783365
8 58 1082784142
8 164 1082784235
103 63 1082784982
103 173 1082785151
32 26 1082786041
96 163 1082787361
9 20 1082788102
9 165 1082788143
9 61 1082788304
103 109 1082789132
32 155 1082789253
32 109 1082789317
32 174 1082789394
175 50 1082789421
103 85 1082789902
124 109 1082789993
164 8 1082790172
103 63 1082790636
38 128 1082790887
103 63 1082790910
103 63 1082790969
19 109 1082791017
103 63 1082791077
103 63 1082791153
38 109 1082791216
41 63 1082791248
103 63 1082791336
176 63 1082791356
41 63 1082791358
176 63 1082791450
41 63 1082791473
161 63 1082791505
103 63 1082791511
41 63 1082791516
176 63 1082791562
41 63 1082791565
161 63 1082791575
103 63 1082791590
176 63 1082791613
41 63 1082791645
176 63 1082791703
41 63 1082791710
161 63 1082791719
103 63 1082791745
164 178 1082791796
164 177 1082791813
32 175 1082791825
32 177 1082791841
176 63 1082791866
164 179 1082791868
41 63 1082791906
32 179 1082791920
41 63 1082791939
41 63 1082792036
41 63 1082792059
41 63 1082792143
161 63 1082792170
96 164 1082792284
41 63 1082792398
41 63 1082792526
41 63 1082792614
161 63 1082792625
32 177 1082792629
32 177 1082792720
41 63 1082792756
41 180 1082792771
32 177 1082792854
41 63 1082792871
161 63 1082792886
41 180 1082792912
177 32 1082793033
41 63 1082793068
180 177 1082793094
180 177 1082793101
180 181 1082793170
41 180 1082793307
41 90 1082793327
41 63 1082793357
32 177 1082793383
41 180 1082793490
41 63 1082793513
177 180 1082793558
177 180 1082793622
177 32 1082793670
41 180 1082793700
41 180 1082793760
32 177 1082793781
41 63 1082793787
41 63 1082794070
177 32 1082794114
32 177 1082794174
177 32 1082794244
175 32 1082794283
32 177 1082794299
32 175 1082794329
175 32 1082794526
177 32 1082794657
63 174 1082794679
174 63 1082794697
63 174 1082794707
174 63 1082794736
32 175 1082794790
63 174 1082794802
174 63 1082794833
9 32 1082794860
63 174 1082794876
32 177 1082794883
175 32 1082794917
32 175 1082795011
174 63 1082795149
177 32 1082795176
175 32 1082795194
63 174 1082795208
174 63 1082795272
63 174 1082795293
32 175 1082795417
175 32 1082795610
175 32 1082795631
32 175 1082795710
174 63 1082795805
63 174 1082795864
174 63 1082796103
63 174 1082796121
9 32 1082797139
41 185 1082797151
185 147 1082797326
41 185 1082797560
186 185 1082797726
155 32 1082797735
32 155 1082797758
185 186 1082797791
103 177 1082798009
187 186 1082798153
103 97 1082798277
187 186 1082798295
41 185 1082798385
41 185 1082798407
41 186 1082798448
41 185 1082798456
41 186 1082798529
185 63 1082798706
187 186 1082798811
63 185 1082798922
103 58 1082799018
103 63 1082799073
187 186 1082799132
189 175 1082799344
189 175 1082799395
187 186 1082799495
185 109 1082799513
102 97 1082800359
41 86 1082800641
41 188 1082800924
101 190 1082802260
191 175 1082802278
101 190 1082802281
101 190 1082802311
101 190 1082802380
101 190 1082802402
103 192 1082802453
101 190 1082802514
101 190 1082802555
101 190 1082802568
101 190 1082802619
101 190 1082802644
101 190 1082802655
101 190 1082802667
101 190 1082802673
193 149 1082802716
193 190 1082802768
191 78 1082802803
101 190 1082802819
101 190 1082802827
