    ,user,movie
60001,2308,37282
60000,3246,3817
59999,320,6897
59998,922,8502
59996,1608,3977
59995,1174,14182
59994,2098,6672
59992,61,21732
59991,1265,2752
59990,922,2362
59989,663,5447
59988,1650,1217
59987,82,32937
59985,2077,1667
59983,1720,13282
59982,1552,1512
59981,2189,502
59980,2532,28297
59979,747,792
59978,2770,10922
59976,152,7447
59975,908,7907
59974,747,21057
59973,614,8397
59972,1538,2407
59971,2308,10962
59969,1328,3062
59968,621,927
59966,1006,877
59965,2889,6437
59964,19,11757
59963,747,22797
59962,754,10372
59961,2420,6662
59960,82,7107
59959,61,6222
59958,2301,8362
59957,404,7122
59955,824,6117
59954,817,907
59953,3701,2037
59952,96,1487
59951,82,43562
59950,2455,1872
59949,2378,927
59948,152,2007
59947,4100,15652
59946,1055,14582
59945,320,15287
59944,936,4532
59943,285,10797
59941,264,16172
59940,2945,457
59939,3498,2352
59937,201,26552
59936,264,19922
59935,82,21242
59934,3141,1412
59933,201,7337
59931,2098,12122
59930,537,13997
59928,222,1887
59927,1426,40357
59926,40,11952
59924,761,9717
59923,1083,9747
59922,901,15937
59921,341,11577
59920,320,2052
59919,852,1347
59918,383,12132
59917,950,6217
59916,873,26402
59915,2609,1857
59914,2553,11482
59913,26,6052
59912,19,3177
59910,19,2117
59908,2721,18412
59907,698,2252
59906,2385,3622
59903,2700,18202
59902,2119,4582
59901,3589,1397
59900,383,6117
59898,2021,2762
59897,915,4167
59896,3232,927
59895,2875,5787
59894,1916,1107
59893,404,1737
59892,4240,5972
59891,4051,4382
59890,3701,33657
59889,3526,11107
59887,1706,39687
59886,257,102
59885,712,4827
59884,1230,2317
59883,124,112
59882,4471,15157
59881,1125,33202
59879,19,12507
59878,1867,957
59876,3729,1342
59875,1153,7977
59874,1041,19672
59873,2364,14117
59871,873,13477
59869,4492,2112
59867,971,11242
59865,271,13602
59864,166,417
59863,957,7332
59861,3134,3307
59860,2812,13777
59857,992,2552
59856,1531,17382
59855,4387,7582
59854,1580,13607
59852,341,2597
59851,1804,25252
59850,4037,427
59849,180,25637
59848,1426,41152
59847,1699,11372
59846,2525,11737
59845,1853,7692
59843,964,13902
59842,82,33627
59841,768,1892
59840,1349,2082
59839,2021,827
59838,327,902
59837,341,6317
59836,1426,19452
59835,271,662
59834,2644,712
59833,2385,1972
59831,1195,3232
59830,887,5082
59828,1986,20557
59827,1713,20882
59826,75,14482
59825,1650,2057
59824,278,4602
59823,2553,13052
59822,2868,5442
59821,40,14112
59817,2910,3802
59816,1300,4372
59815,747,9247
59813,12,4782
59812,1237,9507
59808,278,4692
59807,2378,1702
59806,894,2217
59803,341,2792
59802,404,492
59801,4149,3852
59800,796,797
59799,3183,7827
59798,635,8157
59797,75,2342
59796,2896,4437
59795,61,1892
59793,2077,1272
59792,481,11792
59791,3638,477
59790,2987,2517
59788,271,9047
59787,747,9867
59786,110,1367
59785,1573,1302
59784,3407,5367
59783,1685,7462
59782,1909,36442
59781,2371,21302
59780,404,23887
59779,1559,13792
59777,3197,7792
59776,404,18887
59775,3183,2342
59774,908,16022
59773,4506,10067
59772,481,27032
59771,873,4452
59768,208,44797
59766,180,5982
59765,1300,5532
59764,712,2457
59762,2763,87
59761,2574,6662
59759,2021,1637
59758,1202,3827
59757,82,5642
59756,2588,7152
59755,1349,1172
59753,1825,9337
59752,1055,5902
59751,2343,1782
59750,740,927
59749,1405,22497
59748,1111,1212
59747,12,4262
59746,2910,4522
59745,1636,6672
59744,635,11307
59743,2077,10227
59742,1419,87
59741,1174,4697
59740,2938,3572
59739,173,2787
59738,89,25582
59737,313,24422
59733,2532,11647
59732,2868,30092
59731,2140,1832
59729,383,2477
59727,82,42967
59726,2133,5227
59724,1013,1402
59722,2280,5572
59721,3190,25532
59720,1111,9897
59719,719,952
59718,1916,4432
59717,1524,887
59715,698,6282
59714,1839,1182
59713,12,12
59712,1909,16122
59711,488,4502
59710,75,3357
59708,4184,10987
59705,2875,4412
59703,2063,1532
59702,754,3082
59701,1216,18182
59700,1741,402
59699,82,11387
59698,306,9517
59697,3288,3292
59696,4331,7342
59695,2021,6627
59691,2427,712
59690,782,21977
59689,75,8172
59688,68,957
59687,3127,7277
59685,2315,15397
59684,257,7497
59683,3190,27342
59681,1321,1617
59679,586,562
59678,2175,4582
59677,3645,427
59676,796,15667
59675,922,13887
59674,3624,832
59673,3120,6107
59672,1153,13487
59670,2287,15272
59669,355,1107
59668,1440,5847
59667,180,5267
59665,3645,3682
59664,2532,11482
59662,3988,3797
59661,271,6802
59660,3225,5237
59659,1412,6747
59658,607,10792
59655,2553,10522
59654,446,21357
59653,26,5597
59652,1349,952
59651,1202,2207
59650,2595,8157
59649,782,17892
59647,320,26217
59646,4674,2562
59645,782,15447
59643,1167,3027
59642,1804,7742
59641,110,6172
59640,152,972
59639,4191,7337
59638,957,3832
59636,2644,14247
59635,1265,13777
59634,2525,4822
59633,2763,7637
59632,285,13127
59630,467,28027
59629,12,8552
59628,2497,2392
59627,3820,10057
59626,306,8467
59625,719,432
59624,383,14492
59623,873,28562
59622,1153,592
59621,558,582
59620,82,4447
59618,558,342
59617,194,24227
59616,180,7797
59615,383,872
59614,1559,4727
59613,1608,742
59612,2448,2727
59611,572,11592
59610,2644,25307
59609,1685,2902
59608,1041,15237
59605,180,13222
59604,1286,45272
59603,1153,22652
59600,1167,6472
59599,2252,5247
59598,2497,4237
59597,1475,5482
59596,1041,2687
59595,4520,1402
59594,3617,8567
59593,705,1917
59591,908,4757
59590,1608,1877
59589,740,3082
59588,285,2732
59584,1972,15632
59583,1888,882
59582,747,6287
59581,201,3572
59579,3638,402
59578,1930,2352
59576,1216,20152
59575,1300,19012
59572,761,5082
59571,89,22737
59570,3190,10282
59569,82,3037
59568,1825,887
59567,271,5372
59566,2742,532
59565,1426,13687
59564,3043,1402
59563,544,6347
59562,1034,4002
59561,2070,3622
59560,383,772
59559,621,11557
59558,2994,7637
59556,1055,887
59555,614,762
59554,2133,13597
59552,264,1872
59550,1853,3622
59548,54,6917
59547,40,2572
59546,3750,5002
59545,1111,12697
59544,1230,9582
59543,278,6862
59542,89,2777
59541,201,42437
59540,264,6562
59539,2343,35172
59537,4457,1402
59536,936,12437
59535,2077,14687
59533,2742,26487
59532,1783,8397
59531,271,842
59530,1370,832
59529,614,6027
59527,1426,17417
59526,1006,3762
59525,40,3142
59524,110,5407
59523,1195,2752
59522,894,3232
59521,2868,2802
59520,2994,4757
59519,2315,6157
59518,852,1032
59517,82,1752
59516,1986,13792
59515,1405,8812
59514,3218,9757
59512,1258,3867
59511,2063,3307
59510,82,34177
59508,3225,2312
59506,1048,4682
59505,61,2862
59504,2462,502
59503,1041,9497
59502,376,1232
59501,1545,277
59500,2231,4082
59499,19,2347
59498,89,2452
59496,908,1072
59495,2315,712
59494,3442,887
59493,1251,5172
59492,26,8342
59491,915,2592
59490,3218,24012
59489,145,6977
59488,397,727
59487,1748,892
59486,1468,38832
59485,2014,13507
59484,481,29322
59483,2945,3787
59482,1545,32907
59481,3078,522
59480,2525,1672
59479,152,1737
59478,565,6052
59477,2175,2367
59474,82,18477
59473,1545,6932
59472,313,21442
59471,859,16817
59470,3281,1632
59469,2371,14757
59468,1286,20292
59467,1643,18532
59466,2749,26607
59465,3806,13577
59464,131,1792
59463,488,11917
59462,1706,40297
59460,614,43612
59459,747,9092
59458,180,29657
59457,4541,10827
59456,1153,1797
59455,2826,1232
59453,747,2202
59452,3561,14927
59451,1006,4602
59450,12,40142
59449,201,7182
59448,460,7787
59447,719,3802
59444,1419,4077
59443,2987,1792
59442,936,9312
59441,1013,11417
59440,201,452
59439,404,11402
59438,2735,1342
59436,201,28807
59435,873,7687
59432,1615,2522
59431,1734,31377
59430,2021,44497
59428,376,442
59427,2574,4907
59426,2385,572
59425,404,36637
59424,530,3762
59422,2910,3912
59421,1125,14317
59420,908,16722
59419,1083,1052
59418,4639,5657
59417,1797,8347
59416,2189,772
59415,544,1307
59413,1426,18182
59411,1636,18757
59409,2098,417
59407,264,5587
59406,180,4327
59405,110,3477
59404,481,1857
59403,3512,6057
59401,2756,177
59400,159,18217
59399,4646,547
59398,1559,772
59397,747,342
59396,19,7362
59395,194,2872
59393,313,3822
59392,404,1702
59391,894,9247
59390,2399,5807
59389,4128,7447
59388,488,392
59386,544,3517
59384,1104,14247
59383,82,16997
59380,3603,927
59379,845,15957
59378,824,172
59377,1132,1907
59376,313,11557
59375,313,4067
59374,4324,13472
59373,1524,21797
59372,1636,2207
59371,684,21462
59370,1762,2622
59368,1972,847
59366,2413,10822
59364,2427,14737
59361,1405,2352
59360,82,1502
59359,285,27347
59358,1426,5897
59356,376,15507
59355,1636,2117
59354,2238,1372
59353,873,8157
59352,1412,17122
59351,82,6947
59350,691,21557
59349,1139,2417
59348,180,5767
59347,152,9327
59346,2770,2082
59344,383,3522
59343,1440,2897
59341,1153,5107
59340,404,10247
59339,2770,4517
59338,4289,7842
59337,1895,5587
59336,873,1747
59335,1125,27727
59334,1083,1907
59333,698,16292
59332,1615,1857
59331,1937,1007
59330,530,1172
59329,1307,2012
59328,2357,487
59327,2434,5447
59326,194,2827
59325,2315,16952
59324,2441,13872
59323,313,25917
59322,1125,6537
59320,474,39012
59319,201,41172
59318,313,16437
59317,2231,30397
59316,1923,697
59315,397,9467
59313,1055,4122
59310,1426,16497
59309,61,4162
59308,313,16647
59307,936,15342
59306,1825,1547
59305,3505,29992
59304,1944,3762
59303,4226,5442
59302,1832,2052
59301,1321,1402
59300,1090,1182
59299,852,3032
59298,397,11242
59297,264,13317
59296,1419,1197
59295,523,6152
59293,768,6107
59292,754,2117
59291,614,5297
59289,201,26497
59288,614,4912
59287,110,3842
59286,607,27097
59285,75,7797
59284,1692,3217
59283,635,4282
59281,383,33852
59280,964,4107
59279,1615,10627
59278,404,32517
59277,110,8677
59276,922,3292
59274,383,5162
59273,866,2192
59272,2273,2357
59271,1391,6697
59270,586,927
59269,775,6217
59268,2231,6377
59267,208,9692
59266,306,24582
59265,712,5817
59264,2756,6787
59261,1804,18982
59260,1097,1232
59259,2525,7152
59257,1398,7742
59256,894,7102
59255,2077,16922
59254,2980,797
59253,1349,7167
59252,285,13242
59251,2875,1972
59250,677,5612
59249,1566,2997
59248,544,3397
59247,2735,13712
59245,82,41297
59244,810,31862
59243,1300,17672
59242,68,582
59241,2770,10432
59240,2056,11357
59239,838,3217
59238,2189,927
59237,4233,2667
59236,82,2012
59235,2350,2762
59234,1034,10067
59233,4296,1382
59232,75,43417
59231,3113,15927
59230,320,16102
59229,2910,7037
59228,2889,9272
59227,1426,2147
59226,3120,2312
59225,4331,7512
59224,2168,3792
59223,278,172
59222,3106,4367
59221,2098,2342
59220,299,7777
59219,1300,5407
59218,1594,1792
59217,2077,6567
59216,12,27537
59215,719,37
59213,2231,3177
59212,1055,17797
59211,1349,24822
59209,2252,7462
59208,285,3522
59207,75,1747
59205,754,10887
59204,1251,4367
59203,2868,19547
59202,404,8447
59200,1132,15672
59199,1349,6852
59198,82,41407
59197,922,26027
59193,2371,4772
59192,852,672
59191,796,662
59190,1573,11932
59189,299,3977
59188,26,13687
59187,1300,11012
59186,628,832
59185,3085,3522
59184,3050,11192
59183,873,29587
59181,2455,8202
59180,2126,952
59179,201,28862
59178,3379,552
59177,467,40502
59176,1132,6052
59175,3589,7537
59174,208,4407
59173,3029,927
59172,3750,952
59170,4142,4607
59169,2273,14127
59168,2945,10177
59167,866,1437
59165,4093,35427
59164,614,27102
59163,922,18047
59162,1188,3217
59161,1426,4397
59160,1426,12107
59159,383,3252
59157,635,727
59156,474,8862
59154,404,34942
59153,481,10237
59151,1895,10037
59150,971,927
59149,2343,7307
59148,320,13792
59147,2098,522
59146,3764,2182
59144,2805,4622
59143,208,5177
59142,2553,307
59140,1804,5482
59139,2770,1987
59138,565,8972
59137,3785,307
59136,1748,32577
59135,614,9782
59133,110,697
59132,2896,692
59131,299,14267
59130,2525,8597
59129,2441,1982
59128,1615,257
59126,411,912
59125,558,8547
59124,180,3017
59123,1286,19032
59122,110,6207
59121,82,10357
59120,789,277
59117,12,19262
59116,1230,9607
59115,110,3447
59114,838,1597
59113,271,11562
59112,1223,7827
59111,4443,952
59109,376,29912
59108,4373,6277
