    ,rate
60001,4.0
60000,4.0
59999,4.0
59998,4.0
59996,4.5
59995,4.0
59994,4.0
59992,5.0
59991,3.5
59990,4.5
59989,3.0
59988,4.0
59987,4.5
59985,3.5
59983,3.5
59982,5.0
59981,3.0
59980,4.0
59979,4.0
59978,3.0
59976,4.0
59975,5.0
59974,3.0
59973,2.5
59972,3.0
59971,4.0
59969,3.5
59968,3.5
59966,4.0
59965,3.0
59964,3.5
59963,1.0
59962,5.0
59961,3.0
59960,4.5
59959,3.0
59958,4.0
59957,4.0
59955,3.0
59954,4.0
59953,3.5
59952,5.0
59951,2.0
59950,3.0
59949,4.0
59948,2.0
59947,5.0
59946,3.0
59945,3.5
59944,4.0
59943,4.5
59941,3.0
59940,2.5
59939,4.0
59937,2.0
59936,3.0
59935,2.5
59934,3.0
59933,3.0
59931,1.0
59930,3.5
59928,3.5
59927,1.0
59926,4.0
59924,2.0
59923,4.0
59922,4.0
59921,3.0
59920,4.0
59919,3.0
59918,1.0
59917,4.0
59916,4.0
59915,4.0
59914,5.0
59913,4.0
59912,5.0
59910,4.5
59908,4.0
59907,3.0
59906,4.0
59903,3.0
59902,3.5
59901,4.5
59900,2.0
59898,4.0
59897,5.0
59896,5.0
59895,4.5
59894,5.0
59893,4.0
59892,4.0
59891,3.0
59890,4.5
59889,3.5
59887,4.0
59886,5.0
59885,4.0
59884,1.5
59883,4.0
59882,2.0
59881,3.0
59879,3.5
59878,4.5
59876,5.0
59875,3.0
59874,4.0
59873,3.5
59871,3.5
59869,5.0
59867,3.5
59865,3.0
59864,4.5
59863,1.0
59861,4.0
59860,5.0
59857,2.0
59856,4.0
59855,4.0
59854,4.0
59852,5.0
59851,3.5
59850,3.0
59849,3.0
59848,3.0
59847,1.5
59846,4.0
59845,4.5
59843,2.0
59842,4.0
59841,3.5
59840,2.0
59839,4.0
59838,2.0
59837,3.0
59836,3.5
59835,5.0
59834,3.0
59833,3.0
59831,4.0
59830,3.0
59828,4.0
59827,3.5
59826,2.0
59825,4.0
59824,4.0
59823,4.5
59822,3.5
59821,5.0
59817,4.0
59816,4.5
59815,2.5
59813,4.0
59812,5.0
59808,4.5
59807,1.5
59806,4.5
59803,4.0
59802,3.0
59801,5.0
59800,3.0
59799,3.0
59798,2.0
59797,3.0
59796,4.0
59795,3.0
59793,2.0
59792,1.0
59791,3.0
59790,4.5
59788,3.0
59787,3.0
59786,3.0
59785,1.0
59784,4.0
59783,4.0
59782,4.0
59781,3.0
59780,1.0
59779,4.0
59777,4.0
59776,4.0
59775,3.0
59774,2.5
59773,3.5
59772,4.0
59771,4.0
59768,2.0
59766,3.5
59765,4.5
59764,2.0
59762,5.0
59761,5.0
59759,4.5
59758,5.0
59757,1.0
59756,1.5
59755,4.5
59753,5.0
59752,4.0
59751,3.0
59750,5.0
59749,5.0
59748,5.0
59747,3.5
59746,2.0
59745,2.5
59744,2.5
59743,4.5
59742,4.5
59741,3.0
59740,3.0
59739,3.0
59738,2.0
59737,4.0
59733,3.0
59732,3.0
59731,4.0
59729,5.0
59727,3.5
59726,4.0
59724,4.0
59722,4.5
59721,4.0
59720,3.0
59719,5.0
59718,3.5
59717,3.5
59715,1.0
59714,5.0
59713,3.0
59712,4.0
59711,4.0
59710,3.5
59708,4.0
59705,4.0
59703,3.0
59702,3.0
59701,4.0
59700,3.0
59699,3.5
59698,3.0
59697,4.5
59696,3.0
59695,4.0
59691,3.5
59690,2.0
59689,5.0
59688,1.0
59687,4.0
59685,2.0
59684,3.5
59683,4.0
59681,5.0
59679,5.0
59678,3.0
59677,5.0
59676,5.0
59675,4.0
59674,3.0
59673,3.5
59672,5.0
59670,3.5
59669,5.0
59668,5.0
59667,3.5
59665,4.0
59664,4.0
59662,3.0
59661,3.0
59660,3.0
59659,4.0
59658,3.5
59655,5.0
59654,2.5
59653,4.0
59652,5.0
59651,4.0
59650,3.0
59649,0.5
59647,4.0
59646,3.0
59645,1.0
59643,5.0
59642,4.0
59641,3.0
59640,3.0
59639,5.0
59638,2.0
59636,4.0
59635,1.5
59634,3.5
59633,3.0
59632,3.0
59630,4.5
59629,4.0
59628,1.5
59627,4.0
59626,4.0
59625,4.5
59624,2.5
59623,4.0
59622,4.0
59621,5.0
59620,2.0
59618,4.5
59617,4.5
59616,3.0
59615,2.0
59614,4.0
59613,4.5
59612,3.0
59611,5.0
59610,4.0
59609,3.0
59608,1.0
59605,3.0
59604,5.0
59603,2.0
59600,5.0
59599,3.0
59598,2.5
59597,1.0
59596,4.0
59595,4.0
59594,3.0
59593,5.0
59591,2.5
59590,4.0
59589,4.0
59588,4.0
59584,4.5
59583,5.0
59582,1.0
59581,3.0
59579,5.0
59578,3.5
59576,3.0
59575,3.0
59572,3.0
59571,2.5
59570,4.0
59569,3.0
59568,2.5
59567,3.0
59566,4.0
59565,2.5
59564,3.0
59563,3.0
59562,5.0
59561,4.0
59560,4.0
59559,4.5
59558,4.0
59556,4.0
59555,4.0
59554,4.5
59552,2.0
59550,5.0
59548,1.0
59547,5.0
59546,3.0
59545,4.0
59544,0.5
59543,3.5
59542,2.0
59541,4.0
59540,3.0
59539,2.0
59537,4.5
59536,3.0
59535,4.0
59533,4.0
59532,3.0
59531,3.5
59530,4.0
59529,3.0
59527,3.0
59526,5.0
59525,5.0
59524,1.5
59523,3.5
59522,3.5
59521,3.0
59520,4.0
59519,4.0
59518,4.0
59517,4.5
59516,4.0
59515,5.0
59514,5.0
59512,5.0
59511,5.0
59510,3.5
59508,5.0
59506,4.5
59505,4.0
59504,4.0
59503,4.0
59502,4.0
59501,5.0
59500,0.5
59499,4.5
59498,3.0
59496,3.5
59495,3.5
59494,2.0
59493,3.0
59492,5.0
59491,3.0
59490,0.5
59489,3.5
59488,3.5
59487,3.5
59486,4.5
59485,5.0
59484,2.5
59483,4.0
59482,5.0
59481,3.5
59480,4.5
59479,3.0
59478,3.5
59477,4.0
59474,2.0
59473,3.0
59472,4.0
59471,4.0
59470,3.0
59469,3.0
59468,5.0
59467,5.0
59466,3.5
59465,5.0
59464,5.0
59463,4.0
59462,4.0
59460,3.5
59459,3.0
59458,3.5
59457,4.0
59456,4.0
59455,4.5
59453,3.0
59452,2.0
59451,4.0
59450,2.5
59449,2.0
59448,5.0
59447,3.5
59444,3.5
59443,4.0
59442,2.0
59441,5.0
59440,4.0
59439,2.0
